"item_id	item_name	category	department"
"7062	Kakao + Schokocroissant	snack	food"
"7063	Kaeseseb. & Salamib.	snack	food"
"7064	Salamib. & Salamib	snack	food"
"7065	2 Kaesesbroetchen	snack	food"
"7066	2 Laugenb.Kaese-Salami	snack	food"
"7067	2 Laugenb. mit Salami	snack	food"
"7068	2 Laugenb. mit Kaese	snack	food"
"7069	Kaesesemmel	snack	food"
"7070	Salamisemmel	snack	food"
"7071	Laugenb. mit Kaese	snack	food"
"7072	Laugenb. mit Salami	snack	food"
"7073	4er Tuete Broetchen	snack	food"
"7074	1/2 Baguette Frikadelle	snack	food"
"7075	Sennerfladen ToMo	snack	food"
"7076	Sennerfladen Haehnchen	snack	food"
"7077	Joghurt Muesli & Mango	snack	food"
"7078	Joghurt Muesli & Erdb.	snack	food"
"7079	Ruehrei Speck Broetchen	snack	food"
"7080	Ruehrei Broetchen	snack	food"
"7081	Muffin Schoko	snack	food"
"7082	Muffin Apple	snack	food"
"7083	Muffin Blueberry	snack	food"
"7084	Schokocroissant	snack	food"
"7085	Schokobroetchen	snack	food"
"7086	Rosinenbroetchen	snack	food"
"7087	Milchbroetchen	snack	food"
"7088	Kaffee 0"
"7089	Tee 0"
"7090	Kakao heiss 0"
"7091	Orangensaft 0"
"7092	Apfelsaft 0"
"7093	Secu Kaffee	hot_drinks	drinks"
"7098	Leberkaesesemmel	snack	food"
"7099	Espresso einfach	hot_drinks	drinks"
"7100	Espresso doppelt	hot_drinks	drinks"
"7101	Espresso macchiato	hot_drinks	drinks"
"7102	Cappuccino	hot_drinks	drinks"
"7103	Latte Macchiato	hot_drinks	drinks"
"7104	Caramel Macchiato	hot_drinks	drinks"
"7105	Shot Sirup-Flavour	sweets	food"
"7106	Zitronenkuchen	snack	food"
"7108	Stuhl	camping	non_food"
"7109	Hocker	camping	non_food"
"7110	Schlafsack	camping	non_food"
"7111	Pavillon	camping	non_food"
"7112	2er Zelt	camping	non_food"
"7113	4er Zelt	camping	non_food"
"7114	Luftbett	camping	non_food"
"7115	Isomatte	camping	non_food"
"7116	0.50 Euro	camping	non_food"
"7117	1 Euro	camping	non_food"
"7118	2 Euro	camping	non_food"
"7119	5 Euro	camping	non_food"
"7120	10 Euro	camping	non_food"
"7121	Criss Cuts	fast_food	food"
